auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn,threshold_method,quantile,seed,n_estimators,max_samples,val_size,fit_size
0.8874633731710073,0.0029688273132112814,8.812384337455571e-05,0.0001711669305490179,0.003270992384999862,0.17926107654577628,6,2015,614006,68080,benign-q0.9975,0.9975,4,200,auto,100000,500000
0.8874633731710073,0.006443298969072165,7.343653614546309e-05,0.00014521797217623654,0.0012515807090992027,0.2031447557750402,5,771,615250,68081,benign-q0.999,0.999,4,200,auto,100000,500000
0.9988564193427089,0.989762382572783,0.9996475046265018,0.9946803846491099,0.0011428181831463539,0.1469646744267955,68062,704,615317,24,label-tuned upper bound,,4,500,1.0,100000,500000
0.9988564193427089,0.8230956151697958,0.9999706253855418,0.9029528590280034,0.0237540603323588,0.03695677866978142,68084,14633,601388,2,benign-q0.99,0.99,4,500,1.0,100000,500000
0.9988564193427089,0.9201762447964534,0.9999412507710836,0.9584019595422104,0.009587335496679497,0.07251279498606955,68082,5906,610115,4,benign-q0.995,0.995,4,500,1.0,100000,500000
0.9988564193427089,0.9619716518519565,0.9997943776987928,0.9805184048858833,0.004368357572225623,0.10101254469603271,68072,2691,613330,14,benign-q0.9975,0.9975,4,500,1.0,100000,500000
0.9988564193427089,0.9841246891446417,0.9997062538554181,0.9918542805100182,0.001782406768600421,0.13151707636928964,68066,1098,614923,20,benign-q0.999,0.999,4,500,1.0,100000,500000
0.9979239119853364,0.9809050295431618,0.999691566548189,0.9902092001512992,0.002150900699813805,0.136853795445676,68065,1325,614696,21,label-tuned upper bound,,4,500,0.5,100000,500000
0.9979239119853364,0.8334026978725487,0.9999706253855418,0.9091200427293364,0.022093402659974254,0.048394499152699444,68084,13610,602411,2,benign-q0.99,0.99,4,500,0.5,100000,500000
0.9979239119853364,0.9266957977702455,0.9998531269277091,0.9618854514754818,0.008741585108299879,0.08388073431792088,68076,5385,610636,10,benign-q0.995,0.995,4,500,0.5,100000,500000
0.9979239119853364,0.9681539533759085,0.9997356284698763,0.9836913716734227,0.003634616352364611,0.11366523391136502,68068,2239,613782,18,benign-q0.9975,0.9975,4,500,0.5,100000,500000
0.9979239119853364,0.003194888178913738,4.4061921687277854e-05,8.692502716407099e-05,0.0015194287207741294,0.1451719394440839,3,936,615085,68083,benign-q0.999,0.999,4,500,0.5,100000,500000
0.889855546499454,0.49976143812438983,0.9999706253855418,0.6664480542680808,0.11062772210687623,0.102097037835986,68084,68149,547872,2,label-tuned upper bound,,4,500,auto,100000,500000
0.889855546499454,0.0010414858531504947,8.812384337455571e-05,0.00016249813804216826,0.009342213982964866,0.1431117440273093,6,5755,610266,68080,benign-q0.99,0.99,4,500,auto,100000,500000
0.889855546499454,0.001766264350897851,8.812384337455571e-05,0.00016787208147391687,0.005504682470240462,0.14959542871415077,6,3391,612630,68080,benign-q0.995,0.995,4,500,auto,100000,500000
