dataset,seed,bootstrap,f1_minus_magic_cited,fpr_minus_magic_cited,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
trace,3,65,-0.03322797198863792,0.008332379846911856,0.9902716819821542,0.9191023668798748,0.9998385249992661,0.9577720280113621,0.009732379846911856,0.08887801218370184,68111,5995,609990,11
trace,3,66,-0.03426006504429735,0.00860090932119173,0.9900017871637874,0.9172277547070918,0.9998095600837935,0.9567399349557026,0.01000090932119173,0.08887801218370184,68250,6159,609685,13
trace,3,67,-0.03339380387398949,0.00833840511505631,0.9902649248017714,0.9187725876094696,0.9998674267532812,0.9576061961260105,0.00973840511505631,0.08887801218370184,67878,6001,610219,9
trace,3,68,-0.03377954462300525,0.008463946682422145,0.9901398390696384,0.9179880970053577,0.9999558985667034,0.9572204553769947,0.009863946682422145,0.08887801218370184,68022,6077,610005,3
trace,3,69,-0.034683771293120946,0.008697172499452035,0.9899072375934576,0.9164124138116423,0.9998533552322854,0.956316228706879,0.010097172499452035,0.08887801218370184,68182,6219,609696,10
trace,3,70,-0.035043503565693634,0.008779695161154153,0.9898234697546764,0.9157643012601768,0.9998386505317198,0.9559564964343064,0.010179695161154153,0.08887801218370184,68164,6270,609662,11
trace,3,71,-0.033410557760543025,0.008401629058030321,0.9902009843722152,0.9187781739891004,0.999824281384077,0.957589442239457,0.009801629058030321,0.08887801218370184,68279,6036,609780,12
trace,3,72,-0.03435591891589207,0.008650879634667008,0.9899535613887158,0.9169529279158392,0.9999268364062043,0.9566440810841079,0.010050879634667009,0.08887801218370184,68335,6189,609578,5
trace,3,73,-0.034524028744666535,0.008654371208099346,0.989949924593493,0.9166935700834006,0.9998679499970655,0.9564759712553335,0.010054371208099346,0.08887801218370184,68147,6193,609758,9
trace,3,74,-0.03500053513212831,0.00870871452659116,0.989893570809001,0.9159549348984686,0.9997054752157394,0.9559994648678717,0.01010871452659116,0.08887801218370184,67886,6229,609972,20
trace,3,75,-0.03442455273482736,0.008628378834714394,0.989974130395316,0.9168886736094293,0.9998532756217445,0.9565754472651726,0.010028378834714394,0.08887801218370184,68145,6177,609775,10
trace,3,76,-0.034225761091190354,0.008563379952471853,0.9900398657542688,0.9172542094123673,0.9998530513879297,0.9567742389088096,0.009963379952471853,0.08887801218370184,68041,6138,609918,10
trace,3,77,-0.03376785964518936,0.008497886935114033,0.990105724199339,0.9180834621329211,0.9998682650507179,0.9572321403548106,0.009897886935114033,0.08887801218370184,68310,6095,609693,9
trace,3,78,-0.034660854115019735,0.008676151484799735,0.9899274304377367,0.9164546739349889,0.9998531528091867,0.9563391458849803,0.010076151484799735,0.08887801218370184,68088,6207,609802,10
trace,3,79,-0.03378487044018108,0.00849621478715993,0.9901075990751231,0.9180891959461276,0.9998243456876866,0.9572151295598189,0.00989621478715993,0.08887801218370184,68304,6094,609697,12
trace,3,80,-0.034165517965224046,0.008610897651401835,0.9899933238976788,0.9173028160510888,0.9999268770657229,0.956834482034776,0.010010897651401835,0.08887801218370184,68373,6164,609565,5
trace,3,81,-0.034835963209855714,0.008687664482493885,0.9899145332441287,0.916244407309579,0.9997206211033997,0.9561640367901443,0.010087664482493885,0.08887801218370184,67989,6215,609884,19
trace,3,82,-0.03379242669455884,0.00840411243822744,0.9901997166363736,0.9180765685158072,0.9998228337737882,0.9572075733054412,0.00980411243822744,0.08887801218370184,67721,6043,610331,12
