dataset,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
wget,0,200,1.0,0.01,0.9008,0.9090909090909091,0.8,0.851063829787234,0.08,-0.1386402482959308,20,2,23,5
wget,0,200,1.0,0.05,0.9008,0.9090909090909091,0.8,0.851063829787234,0.08,-0.029214135587674495,20,2,23,5
wget,0,200,1.0,0.1,0.9008,0.9090909090909091,0.8,0.851063829787234,0.08,-0.012011960198864635,20,2,23,5
wget,1,50,auto,auto,0.8912,0.9090909090909091,0.8,0.851063829787234,0.08,0.00020811941518816823,20,2,23,5
wget,1,50,auto,0.01,0.8912,0.9090909090909091,0.8,0.851063829787234,0.08,-0.143183757844365,20,2,23,5
wget,1,50,auto,0.05,0.8912,0.9090909090909091,0.8,0.851063829787234,0.08,-0.040363170192474374,20,2,23,5
wget,1,50,auto,0.1,0.8912,0.9090909090909091,0.8,0.851063829787234,0.08,-0.02068810946045574,20,2,23,5
wget,1,50,0.5,auto,0.8543999999999999,0.8260869565217391,0.76,0.7916666666666666,0.16,0.023861309580098133,19,4,21,6
wget,1,50,0.5,0.01,0.8543999999999999,0.8260869565217391,0.76,0.7916666666666666,0.16,-0.09702990621167906,19,4,21,6
wget,1,50,0.5,0.05,0.8543999999999999,0.8260869565217391,0.76,0.7916666666666666,0.16,-0.04125564594741793,19,4,21,6
wget,1,50,0.5,0.1,0.8543999999999999,0.8260869565217391,0.76,0.7916666666666666,0.16,-0.027092937672986928,19,4,21,6
wget,1,50,1.0,auto,0.8912,0.9090909090909091,0.8,0.851063829787234,0.08,0.00020811941518816823,20,2,23,5
wget,1,50,1.0,0.01,0.8912,0.9090909090909091,0.8,0.851063829787234,0.08,-0.143183757844365,20,2,23,5
wget,1,50,1.0,0.05,0.8912,0.9090909090909091,0.8,0.851063829787234,0.08,-0.040363170192474374,20,2,23,5
wget,1,50,1.0,0.1,0.8912,0.9090909090909091,0.8,0.851063829787234,0.08,-0.02068810946045574,20,2,23,5
wget,1,100,auto,auto,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.005614957278516297,20,2,23,5
wget,1,100,auto,0.01,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.15580187891874792,20,2,23,5
wget,1,100,auto,0.05,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.038373972554652414,20,2,23,5
wget,1,100,auto,0.1,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.013471958468885659,20,2,23,5
wget,1,100,0.5,auto,0.8944000000000001,0.95,0.76,0.8444444444444444,0.04,0.025248451005493555,19,1,24,6
wget,1,100,0.5,0.01,0.8944000000000001,0.95,0.76,0.8444444444444444,0.04,-0.11811012197233872,19,1,24,6
wget,1,100,0.5,0.05,0.8944000000000001,0.95,0.76,0.8444444444444444,0.04,-0.02197114869551564,19,1,24,6
wget,1,100,0.5,0.1,0.8944000000000001,0.95,0.76,0.8444444444444444,0.04,-0.011082335735712934,19,1,24,6
wget,1,100,1.0,auto,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.005614957278516297,20,2,23,5
wget,1,100,1.0,0.01,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.15580187891874792,20,2,23,5
wget,1,100,1.0,0.05,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.038373972554652414,20,2,23,5
wget,1,100,1.0,0.1,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.013471958468885659,20,2,23,5
wget,1,200,auto,auto,0.9104,0.875,0.84,0.8571428571428571,0.12,-0.009506438152532715,21,3,22,4
wget,1,200,auto,0.01,0.9104,0.875,0.84,0.8571428571428571,0.12,-0.1507027936827937,21,3,22,4
